,feature_0,feature_1,feature_2,feature_3,val_dice_DSC_mean,test_dice_DSC_mean,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
githash_04cc43d/mmwhs/random_seed_30/baseline/tra/ratio_0.34/storage.csv,random_seed_30,baseline,tra,ratio_0.34,0.7677080829938253,0.7138055960337321,,,,,,
githash_04cc43d/mmwhs/random_seed_30/baseline/tra/ratio_0.09/storage.csv,random_seed_30,baseline,tra,ratio_0.09,0.31783877313137054,0.35625240206718445,,,,,,
githash_04cc43d/mmwhs/random_seed_30/baseline/tra/ratio_0.17/storage.csv,random_seed_30,baseline,tra,ratio_0.17,0.3052552541097005,0.5766682028770447,,,,,,
githash_04cc43d/mmwhs/random_seed_30/baseline/tra/ratio_1.0/storage.csv,random_seed_30,baseline,tra,ratio_1.0,0.8025622765223185,0.8151264190673828,,,,,,
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/infonce/tra/ratio_0.34/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.8064571619033813,0.7264557480812073,infonce,tra,ratio_0.34,,,
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/infonce/tra/ratio_0.09/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.33977715174357104,0.4863810042540233,infonce,tra,ratio_0.09,,,
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/infonce/tra/ratio_0.17/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.3629453380902608,0.6170358856519064,infonce,tra,ratio_0.17,,,
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/infonce/tra/ratio_1.0/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.8684884707132975,0.8416547973950704,infonce,tra,ratio_1.0,,,
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*4.0_70.0/type_inversesquare/tra/ratio_0.34/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.7732671896616617,0.7068110307057699,self-paced,method_soft,loss_params*4.0_70.0,type_inversesquare,tra,ratio_0.34
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*4.0_70.0/type_inversesquare/tra/ratio_0.09/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.3598084946473439,0.37385324637095135,self-paced,method_soft,loss_params*4.0_70.0,type_inversesquare,tra,ratio_0.09
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*4.0_70.0/type_inversesquare/tra/ratio_0.17/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.5212107499440511,0.5693436563014984,self-paced,method_soft,loss_params*4.0_70.0,type_inversesquare,tra,ratio_0.17
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*4.0_70.0/type_inversesquare/tra/ratio_1.0/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.8598224123318992,0.8505798578262329,self-paced,method_soft,loss_params*4.0_70.0,type_inversesquare,tra,ratio_1.0
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*2.0_80.0/type_inversesquare/tra/ratio_0.34/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.7964076598485311,0.7477895220120748,self-paced,method_soft,loss_params*2.0_80.0,type_inversesquare,tra,ratio_0.34
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*2.0_80.0/type_inversesquare/tra/ratio_0.09/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.3412607858578364,0.4862711330254873,self-paced,method_soft,loss_params*2.0_80.0,type_inversesquare,tra,ratio_0.09
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*2.0_80.0/type_inversesquare/tra/ratio_0.17/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.3712165554364522,0.5743973851203918,self-paced,method_soft,loss_params*2.0_80.0,type_inversesquare,tra,ratio_0.17
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*2.0_80.0/type_inversesquare/tra/ratio_1.0/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.8586494525273641,0.8336405356725057,self-paced,method_soft,loss_params*2.0_80.0,type_inversesquare,tra,ratio_1.0
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*3.0_60.0/type_inversesquare/tra/ratio_0.34/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.7877733310063679,0.7245270808537801,self-paced,method_soft,loss_params*3.0_60.0,type_inversesquare,tra,ratio_0.34
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*3.0_60.0/type_inversesquare/tra/ratio_0.09/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.3616795639197032,0.3894672244787216,self-paced,method_soft,loss_params*3.0_60.0,type_inversesquare,tra,ratio_0.09
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*3.0_60.0/type_inversesquare/tra/ratio_0.17/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.4205489754676819,0.6218230525652567,self-paced,method_soft,loss_params*3.0_60.0,type_inversesquare,tra,ratio_0.17
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*3.0_60.0/type_inversesquare/tra/ratio_1.0/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.8721051414807638,0.8449226617813109,self-paced,method_soft,loss_params*3.0_60.0,type_inversesquare,tra,ratio_1.0
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*1.0_70.0/type_inversesquare/tra/ratio_0.34/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.8048079808553059,0.7311669786771139,self-paced,method_soft,loss_params*1.0_70.0,type_inversesquare,tra,ratio_0.34
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*1.0_70.0/type_inversesquare/tra/ratio_0.09/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.3555214355389277,0.41579629977544147,self-paced,method_soft,loss_params*1.0_70.0,type_inversesquare,tra,ratio_0.09
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*1.0_70.0/type_inversesquare/tra/ratio_0.17/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.3466956416765849,0.5700579484303793,self-paced,method_soft,loss_params*1.0_70.0,type_inversesquare,tra,ratio_0.17
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*1.0_70.0/type_inversesquare/tra/ratio_1.0/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.8588248689969381,0.8415298859278361,self-paced,method_soft,loss_params*1.0_70.0,type_inversesquare,tra,ratio_1.0
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*2.5_60.0/type_inversesquare/tra/ratio_0.34/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.8175256848335266,0.7307442625363668,self-paced,method_soft,loss_params*2.5_60.0,type_inversesquare,tra,ratio_0.34
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*2.5_60.0/type_inversesquare/tra/ratio_0.09/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.33557528257369995,0.4895276824633281,self-paced,method_soft,loss_params*2.5_60.0,type_inversesquare,tra,ratio_0.09
